county_name,full_FIPS_Code,county_FIPS,population,total_units,occupied_units,vacant_units
Adair,19001,001,7496,3585,3217,368
Adams,19003,003,3704,1888,1614,274
Allamakee,19005,005,14061,7668,5797,1871
Appanoose,19007,007,12317,6306,5320,986
Audubon,19009,009,5674,2787,2498,289
Benton,19011,011,25575,11076,10282,794
Black Hawk,19013,013,131144,58559,54223,4336
Boone,19015,015,26715,11921,10981,940
Bremer,19017,017,24988,10484,9646,838
Buchanan,19019,019,20565,8886,8198,688
Buena Vista,19021,021,20823,8141,7447,694
Butler,19023,023,14334,6536,5992,544
Calhoun,19025,025,9927,4771,4070,701
Carroll,19027,027,20760,9490,8764,726
Cass,19029,029,13127,6398,5818,580
Cedar,19031,031,18505,8190,7594,596
Cerro Gordo,19033,033,43127,22603,19224,3379
Cherokee,19035,035,11658,5558,5008,550
Chickasaw,19037,037,12012,5534,5022,512
Clarke,19039,039,9748,4268,3871,397
Clay,19041,041,16384,8109,7222,887
Clayton,19043,043,17043,8758,7315,1443
Clinton,19045,045,46460,21517,19483,2034
Crawford,19047,047,16525,6855,6255,600
Dallas,19049,049,99678,41125,38291,2834
Davis,19051,051,9110,3579,3258,321
Decatur,19053,053,7645,3653,2986,667
Delaware,19055,055,17488,8100,7141,959
Des Moines,19057,057,38910,18782,16751,2031
Dickinson,19059,059,17703,13691,7976,5715
Dubuque,19061,061,99266,42630,39891,2739
Emmet,19063,063,9388,4475,3972,503
Fayette,19065,065,19509,9298,8174,1124
Floyd,19067,067,15627,7314,6674,640
Franklin,19069,069,10019,4656,4141,515
Fremont,19071,071,6605,3110,2720,390
Greene,19073,073,8771,4309,3802,507
Grundy,19075,075,12329,5465,5069,396
Guthrie,19077,077,10623,5773,4529,1244
Hamilton,19079,079,15039,7037,6283,754
Hancock,19081,081,10795,5113,4585,528
Hardin,19083,083,16878,8032,7070,962
Harrison,19085,085,14582,6665,5951,714
Henry,19087,087,20482,8398,7746,652
Howard,19089,089,9469,4314,3945,369
Humboldt,19091,091,9597,4571,4073,498
Ida,19093,093,7005,3352,2940,412
Iowa,19095,095,16662,7341,6811,530
Jackson,19097,097,19485,9241,8305,936
Jasper,19099,099,37813,16132,14994,1138
Jefferson,19101,101,15663,7689,6902,787
Johnson,19103,103,152854,65916,61335,4581
Jones,19105,105,20646,8871,8113,758
Keokuk,19107,107,10033,4654,4174,480
Kossuth,19109,109,14828,7216,6438,778
Lee,19111,111,33555,15858,14036,1822
Linn,19113,113,230299,101230,94751,6479
Louisa,19115,115,10837,4712,4180,532
Lucas,19117,117,8634,4058,3608,450
Lyon,19119,119,11934,4817,4466,351
Madison,19121,121,16548,6913,6436,477
Mahaska,19123,123,22190,9680,8799,881
Marion,19125,125,33414,14073,13145,928
Marshall,19127,127,40105,16745,15358,1387
Mills,19129,129,14484,6110,5512,598
Mitchell,19131,131,10565,4847,4382,465
Monona,19133,133,8751,4373,3839,534
Monroe,19135,135,7577,3636,3116,520
Montgomery,19137,137,10330,5007,4456,551
Muscatine,19139,139,43235,18366,16908,1458
O'Brien,19141,141,14182,6524,5861,663
Osceola,19143,143,6192,2878,2599,279
Page,19145,145,15211,6983,6212,771
Palo Alto,19147,147,8996,4516,3831,685
Plymouth,19149,149,25698,10818,10171,647
Pocahontas,19151,151,7078,3666,3090,576
Polk,19153,153,492401,210184,196891,13293
Pottawattamie,19155,155,93667,39852,37284,2568
Poweshiek,19157,157,18662,8906,7536,1370
Ringgold,19159,159,4663,2672,1945,727
Sac,19161,161,9814,5118,4273,845
Scott,19163,163,174669,77771,71628,6143
Shelby,19165,165,11746,5421,4981,440
Sioux,19167,167,35872,13000,12202,798
Story,19169,169,98537,41361,38273,3088
Tama,19171,171,17135,7575,6784,791
Taylor,19173,173,5896,2885,2506,379
Union,19175,175,12138,5784,5169,615
Van Buren,19177,177,7203,3500,2984,516
Wapello,19179,179,35437,15734,14167,1567
Warren,19181,181,52403,20857,19616,1241
Washington,19183,183,22565,9573,8916,657
Wayne,19185,185,6497,3025,2585,440
Webster,19187,187,36999,16937,15046,1891
Winnebago,19189,189,10679,5077,4512,565
Winneshiek,19191,191,20070,8916,8170,746
Woodbury,19193,193,105941,42701,39904,2797
Worth,19195,195,7443,3480,3127,353
Wright,19197,197,12943,6260,5404,856
