iteration,dem_seats,rep_seats,efficiency_gap,mean_median_difference
000,1,3,12.95,1.25
001,0,4,37.92,3.74
003,1,3,12.27,0.27
004,1,3,12.78,2.2
005,0,4,37.92,2.45
006,0,4,37.92,2.57
007,0,4,37.92,2.44
008,0,4,37.92,2.18
009,0,4,37.92,2.95
011,0,4,37.92,2.83
012,1,3,12.43,2.65
013,0,4,37.92,3.38
014,1,3,12.91,2.3
016,1,3,13.21,2.16
017,0,4,37.92,2.01
018,1,3,12.47,1.44
019,1,3,12.6,2.15
020,1,3,12.71,2.26
022,0,4,37.92,2.23
023,0,4,37.92,2.18
024,1,3,12.71,2.25
025,0,4,37.92,2.44
026,1,3,12.87,2.33
027,0,4,37.92,2.39
028,1,3,12.68,2.16
029,0,4,37.92,2.33
030,0,4,37.92,0.01
031,0,4,37.92,0.24
032,0,4,37.92,2.47
033,0,4,37.92,2.44
034,1,3,12.59,2.48
035,1,3,12.7,2.27
036,0,4,37.92,3.75
037,0,4,37.92,3.51
038,0,4,37.92,2.44
039,0,4,37.92,2.23
040,1,3,12.62,2.54
041,1,3,12.73,2.75
042,0,4,37.92,2.16
043,0,4,37.92,2.28
044,0,4,37.92,2.24
045,1,3,11.38,1.03
046,0,4,37.92,2.18
047,1,3,12.84,2.27
048,0,4,37.92,2.44
049,0,4,37.92,2.21
051,1,3,12.08,1.24
052,0,4,37.92,2.43
053,0,4,37.92,3.83
054,1,3,12.61,1.75
055,0,4,37.92,2.91
056,0,4,37.92,2.92
057,1,3,12.84,2.27
058,1,3,11.93,0.06
059,1,3,12.27,0.58
060,2,2,-13.35,1.5
061,0,4,37.92,3.53
062,0,4,37.92,2.03
063,0,4,37.92,3.47
064,1,3,12.94,2.22
066,1,3,12.73,2.75
067,1,3,12.94,2.22
068,0,4,37.92,3.28
069,1,3,12.05,2.53
070,0,4,37.92,2.99
071,0,4,37.92,2.99
073,0,4,37.92,2.91
074,0,4,37.92,2.27
075,0,4,37.92,3.39
076,1,3,12.72,2.54
079,0,4,37.92,2.17
080,1,3,11.84,-0.52
082,1,3,12.29,1.51
083,0,4,37.92,2.08
084,1,3,12.49,1.08
085,0,4,37.92,2.44
086,0,4,37.92,2.15
087,1,3,12.94,2.18
088,1,3,12.94,1.55
089,1,3,12.53,2.51
090,1,3,13.14,2.67
091,1,3,12.08,1.15
092,0,4,37.92,2.44
093,0,4,37.92,2.43
094,0,4,37.92,2.67
095,0,4,37.92,3.47
096,0,4,37.92,0.6
097,0,4,37.92,2.46
098,1,3,12.97,1.57
100,1,3,13.21,2.16
101,0,4,37.92,2.44
102,1,3,12.86,2.15
103,0,4,37.92,2.06
104,1,3,12.78,2.21
105,0,4,37.92,0.58
106,1,3,13.13,2.19
107,0,4,37.92,2.44
108,1,3,12.31,2.06
109,1,3,12.81,-0.79
110,1,3,12.94,2.22
111,0,4,37.92,2.87
112,0,4,37.92,2.43
113,2,2,-14.27,1.74
114,2,2,-13.12,1.67
115,0,4,37.92,2.91
116,1,3,11.9,-0.76
118,1,3,12.7,1.92
120,1,3,12.53,2.79
121,1,3,12.87,2.22
122,0,4,37.92,2.45
123,1,3,12.67,2.7
124,2,2,-13.35,1.5
125,0,4,37.92,2.44
126,1,3,13.35,0.29
127,1,3,12.84,2.27
128,1,3,12.61,0.43
129,1,3,12.15,-0.82
130,0,4,37.92,2.55
131,0,4,37.92,2.18
132,0,4,37.92,2.48
133,0,4,37.92,3.91
134,0,4,37.92,3.52
135,0,4,37.92,2.88
136,1,3,12.81,2.31
137,1,3,12.61,2.05
138,1,3,11.7,2.53
139,1,3,11.9,2.77
140,0,4,37.92,2.26
142,0,4,37.92,2.44
143,1,3,12.72,2.26
144,0,4,37.92,1.37
145,0,4,37.92,3.66
146,0,4,37.92,0.71
147,0,4,37.92,2.51
148,0,4,37.92,2.77
149,1,3,12.17,2.7
150,0,4,37.92,0.31
151,1,3,12.68,2.26
152,0,4,37.92,2.43
153,1,3,13.23,2.42
154,0,4,37.92,2.32
155,1,3,12.72,2.15
156,1,3,12.63,2.53
157,1,3,11.84,2.5
158,0,4,37.92,2.19
160,0,4,37.92,0.66
161,0,4,37.92,2.49
162,1,3,12.51,2.28
163,1,3,12.98,2.23
164,0,4,37.92,2.44
165,0,4,37.92,2.45
166,0,4,37.92,2.73
167,1,3,12.33,2.47
168,1,3,12.94,2.22
169,1,3,11.93,1.59
170,1,3,12.7,1.96
171,0,4,37.92,2.08
172,1,3,13.21,2.16
173,1,3,12.61,2.54
174,1,3,12.08,1.1
175,0,4,37.92,2.26
176,0,4,37.92,0.17
177,1,3,12.94,2.57
178,0,4,37.92,2.39
179,0,4,37.92,3.64
180,1,3,12.27,0.61
182,1,3,11.93,1.5
183,1,3,12.97,1.91
185,1,3,12.89,2.31
186,0,4,37.92,2.31
187,1,3,12.43,2.59
188,1,3,12.41,2.58
189,0,4,37.92,3.55
190,0,4,37.92,1.71
191,1,3,11.93,1.52
192,0,4,37.92,3.73
193,0,4,37.92,3.06
194,1,3,12.61,2.55
195,1,3,12.51,0.35
197,1,3,13.04,2.64
198,0,4,37.92,2.44
199,0,4,37.92,1.58
201,0,4,37.92,1.76
202,1,3,12.53,2.51
203,1,3,12.86,0.73
205,2,2,-12.62,1.05
206,0,4,37.92,2.15
207,0,4,37.92,2.17
208,1,3,12.55,1.68
209,0,4,37.92,2.79
210,0,4,37.92,3.53
211,1,3,12.17,2.7
212,0,4,37.92,2.4
213,1,3,10.92,2.42
214,2,2,-14.07,1.69
215,0,4,37.92,2.32
216,1,3,12.97,2.21
217,0,4,37.92,3.59
219,1,3,12.63,2.31
220,1,3,12.86,2.59
221,1,3,12.08,-0.94
222,0,4,37.92,2.07
223,1,3,12.63,2.15
224,1,3,12.61,1.23
225,1,3,13.03,2.47
226,0,4,37.92,2.4
227,0,4,37.92,0.71
228,1,3,12.94,2.21
229,1,3,12.61,0.17
230,1,3,12.84,2.27
231,0,4,37.92,2.44
232,0,4,37.92,3.43
233,1,3,12.6,2.35
234,1,3,12.87,2.24
236,0,4,37.92,2.23
237,0,4,37.92,2.26
238,1,3,12.98,2.23
239,0,4,37.92,2.45
241,0,4,37.92,3.64
242,1,3,12.89,2.19
243,0,4,37.92,2.9
244,0,4,37.92,3.41
245,0,4,37.92,2.94
246,0,4,37.92,3.43
247,1,3,12.05,1.12
248,2,2,-12.68,1.32
250,1,3,12.92,2.22
251,1,3,12.24,2.37
252,1,3,11.63,1.24
253,1,3,13.22,-1.02
255,1,3,12.36,2.33
256,1,3,13.23,2.42
257,1,3,12.81,2.27
259,0,4,37.92,3.64
